businessId,name,decription,ownerId,followers,phone,internalURL,externalURL,facebook,twitter,instagram,address,lat,lng
e279bf52-fa90-4c95-98a4-de4d999515f8,1369 Coffee House,The best coffee ever,,,(617) 576-4600,business/e279bf52-fa90-4c95-98a4-de4d999515f8,https://www.1369coffeehouse.com/,https://www.facebook.com/1369Coffeehouse/,https://twitter.com/1369coffeehouse?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/1369coffeehouse/?hl=en,757 Mass Ave,42.36667,-71.10532
81c978e4-8d25-4264-9bd5-c2e8c6d72c91,2 4-1 Optical,Fix your eyes on the cheap,,,(617) 441-0006,business/81c978e4-8d25-4264-9bd5-c2e8c6d72c91,http://241optical.com/,https://www.facebook.com/241optical/,,,1128 Massachusetts Ave,42.3709,-71.11406
a983568d-8d86-4379-8f09-324958fcc332,5th Street Laundromat,Cleanest clothes you'll ever have,,,(617) 497-6900,business/a983568d-8d86-4379-8f09-324958fcc332,,,,,58 5th Street,42.37129,-71.08296
35afaa68-3428-4150-881b-cdceb41a942e,7-Eleven,Seven-11,,,(617) 492-0830,business/35afaa68-3428-4150-881b-cdceb41a942e,https://www.7-eleven.com/,,,,750 Massachusetts Ave,42.36618,-71.10547
1818dd56-6603-4025-8ef8-9d7bedf1dd25,730 Tavern,Must drink with mask on,,,(617) 868-8800,business/1818dd56-6603-4025-8ef8-9d7bedf1dd25,https://730tavern.com/,https://www.facebook.com/730tavern/,,https://www.instagram.com/p/B9uqJpAgWJz/,730 Massachusetts Ave,42.36611,-71.1049
d19182b4-e9d1-4248-a3c0-af869f787b5e,9Zaab Thai Street Food,It's not good if it isnt Thai,,,(617) 868-6644,business/d19182b4-e9d1-4248-a3c0-af869f787b5e,http://www.9zaab.com/,https://www.facebook.com/9Zaab/,,https://www.instagram.com/9Zaab/,569 Cambridge St,42.37178,-71.08572
22d9973c-4f8b-4f7e-bb50-eca27e5a028d,A&E Citgo Service Station,Fillerup,,,(617) 876-3388,business/22d9973c-4f8b-4f7e-bb50-eca27e5a028d,,,,,199 Concord Ave,42.38253,-71.13122
3392bf4e-debe-4198-b4ba-39096fb73ea8,Abbey,Neighborhood sanctuary,,,(617) 714-4944,business/3392bf4e-debe-4198-b4ba-39096fb73ea8,http://abbeyrestaurant.com/cambridge/,https://www.facebook.com/abbey2cambridge/,https://twitter.com/Abbey2Cambridge,https://www.instagram.com/abbey2cambridge/,1755 Mass. Ave.,42.38511,-71.11934
e09e43d2-55de-4b3e-9565-c88efbd2bd21,ABC Pizza House,We can do 123s as well,,,(617) 876-4607,business/e09e43d2-55de-4b3e-9565-c88efbd2bd21,,https://www.facebook.com/ABC-Pizza-House-135319099845881/,,,744 Massachusetts Ave,42.36621,-71.10508
41f6fa04-6104-438b-aaf3-3356117e60a6,Abide Place,Better abide by our COVID policies,,,(510) 366-9943,business/41f6fa04-6104-438b-aaf3-3356117e60a6,https://www.abideplace.com/,,,https://www.instagram.com/abidecambridge/,317 Massachusetts Ave,42.362499,-71.098804
aed2602d-e926-401b-8112-19f625d5f775,Abodeon,A body on,,,(617) 497-0137,business/aed2602d-e926-401b-8112-19f625d5f775,http://www.abodeon.com/,https://www.facebook.com/abodeon/,https://twitter.com/abodeon/,,1731 Mass. Ave.,42.38429,-71.11943
341e5be0-6648-4226-afab-2a115db76d8f,Abroad Modern,The latest trends,,,(617) 945-1237,business/341e5be0-6648-4226-afab-2a115db76d8f,https://www.abroadmodern.com/,https://www.facebook.com/AbroadModern/,,https://www.instagram.com/abroadmodern/,260 Concord Ave,42.38332,-71.13292
3371a8aa-48bc-4c9c-8711-c9eacb68ade2,Aceituna Grill,We grill more than just tuna,,,(617) 252-0707,business/3371a8aa-48bc-4c9c-8711-c9eacb68ade2,http://aceitunagrill.com/,https://www.facebook.com/aceitunagrill/,,https://www.instagram.com/aceitunagrill/,605 West Kendall St,42.3646627,-71.0818355
05422fed-f038-4aa2-9866-f926c95f35fb,Advance Tire Company,The most advanced tires,,,(617) 864-8989,business/05422fed-f038-4aa2-9866-f926c95f35fb,https://www.advancetire.net/,https://www.facebook.com/www.advancetire.net,,,185 Broadway,42.374834,-71.114462
2ecd8d2d-2214-49ff-8911-587f16480941,Aestheticare Day Spa,Enjoy your day but pampered.,,,(617) 661-1113,business/2ecd8d2d-2214-49ff-8911-587f16480941,https://www.aestheticaredayspa.com/,https://www.facebook.com/Aestheticare-Day-Spa-771184209580251/,,,310 Cambridge St,42.37118,-71.08106
d3ca2133-3af9-4272-906e-d8649822f993,African Gift Items,For when you want to give African gifts,,,(781) 640-3389,business/d3ca2133-3af9-4272-906e-d8649822f993,https://africangiftitems.com/,https://www.facebook.com/africangiftitems/,,https://www.instagram.com/africangiftitems/?hl=en,1815 Mass. Ave.,42.38699,-71.11916
7fd38826-d7fe-41cc-a89a-b2fe76fb25e7,Al Bara Market,It's what you think it is,,,(617) 441-7854,business/7fd38826-d7fe-41cc-a89a-b2fe76fb25e7,,,,,304 Prospect St.,42.37279,-71.09857
73f5d22e-7ae0-43a3-a34e-aef823fce0da,Al's Café,Al's name is there because he's a narcisist,,,(617) 621-1111,business/73f5d22e-7ae0-43a3-a34e-aef823fce0da,http://www.alscafes.com/index.php,,,,600 Technology Square,42.36386,-71.09318
8ec7b41c-1049-44b0-80a0-73ecf0d974c3,Aladdin Auto Service,Service your car like magic,,,(617) 547-8000,business/8ec7b41c-1049-44b0-80a0-73ecf0d974c3,,,,,162 Alewife Brook Pkwy,42.390245,-71.141974
